stop_id;STOP_NAME
RTP:SA:3748097;COLLEGE DE FRANCE
RTP:SA:3750017;COLLEGE MALLARME
RTP:SA:1978;COLONEL FABIEN
RTP:SA:3442458;COLONEL MONTEIL
RTP:SA:3807603;COLONEL PIERRE AVIA
RTP:SA:3687125;COMMANDANT LAMY
RTP:SA:3343753;COMMERCE
RTP:SA:1980;CONCORDE
RTP:SA:3811238;CONCORDE - COURS LA REINE
RTP:SA:3716878;CONCORDE - QUAI DES TUILERIES
RTP:SA:3811226;CONDORCET
RTP:SA:4016443;CONDORCET-TRUDAINE
RTP:SA:1984;CONVENTION
RTP:SA:3811268;CONVENTION - BOUCICAUT
RTP:SA:3749943;CONVENTION - LECOURBE
RTP:SA:3749782;COQUILLIERE
RTP:SA:3764549;COQUILLIERE - LES HALLES
RTP:SA:1985;CORENTIN-CARIOU
RTP:SA:1987;CORVISART
RTP:SA:3764449;COTENTIN-MONTPARNASSE 3
RTP:SA:3690052;COUR DES NOUES
RTP:SA:1166828;COUR SAINT-EMILION
RTP:SA:1989;COURCELLES
RTP:SA:2079;COURONNES
RTP:SA:3765275;COURS DE VINCENNES
RTP:SA:3749998;COYSEVOX
RTP:SA:3765063;CRIMEE - ARCHEREAU
RTP:SA:2080;CRIMEE
RTP:SA:3748060;CROZATIER
RTP:SA:3750039;CURIAL - CRIMEE
RTP:SA:4009660;CURNONSKY
RTP:SA:3749642;CUSTINE - MONT-CENIS
RTP:SA:3749641;CUSTINE - RAMEY
RTP:SA:3716891;CUVIER
RTP:SA:3764520;CUVIER-JARDIN DES PLANTES
RTP:SA:4008279;D'AGUESSEAU
RTP:SA:3926416;D'HAUTPOUL
RTP:SA:3792948;DAMESME
RTP:SA:3749924;DAMREMONT - CAULAINCOURT
RTP:SA:3926233;DAMREMONT - CHAMPIONNET
RTP:SA:3926227;DAMREMONT - LAMARCK
RTP:SA:3765052;DAMREMONT - ORDENER
RTP:SA:3716887;DANTE
RTP:SA:1635;DANUBE
RTP:SA:3754201;DAREAU - SAINT-JACQUES
RTP:SA:3764435;DAREAU-RENE COTY
RTP:SA:2081;DAUMESNIL (FELIX EBOUE)
RTP:SA:3747838;DAUMESNIL - DIDEROT
RTP:SA:3673589;DAUMESNIL - LEDRU ROLLIN
RTP:SA:3764831;DAVIEL
RTP:SA:3750015;DAVY
RTP:SA:3690078;DEBROUSSE - CENTRE DE SANTE
RTP:SA:3952723;DEGAS
RTP:SA:3813328;DELPHINE SEYRIG
RTP:SA:3705264;DENFERT-ROCHEREAU
RTP:SA:3764627;DENFERT-ROCHEREAU - ARAGO
RTP:SA:3764637;DENFERT-ROCHEREAU - DAGUERRE
RTP:SA:3764438;DENFERT-ROCHEREAU-FROIDEVAUX
RTP:SA:4997001;DEPARTEMENT - MARX DORMOY
RTP:SA:3811258;DESAIX
RTP:SA:3807609;DESNOUETTES
RTP:SA:3807610;DESNOUETTES - VASCO DE GAMA
RTP:SA:3442459;DIDOT
RTP:SA:3716898;DIJON - LACHAMBEAUDIE
RTP:SA:3811283;DOCTEUR FINLAY
RTP:SA:3747850;DOCTEUR GOUJON - REUILLY
RTP:SA:3754291;DOCTEUR LAURENT
RTP:SA:3747860;DOCTEUR NETTER
RTP:SA:3754277;DOUANIER ROUSSEAU
RTP:SA:3741059;DOUDEAUVILLE
RTP:SA:3749658;DREVET
RTP:SA:3747846;DUBRUNFAUT
RTP:SA:3750023;DUCHESNE - BOLLAERT
RTP:SA:3813183;DUFRENOY
RTP:SA:2082;DUGOMMIER
RTP:SA:5018154;DUHESME - LE RUISSEAU
RTP:SA:1926;DUPLEIX
RTP:SA:3764719;DUQUESNE - LOWENDAL
RTP:SA:3749667;DURANTIN - BURQ
RTP:SA:3749944;DURANTON
RTP:SA:1927;DUROC
RTP:SA:3343757;ECOLE MILITAIRE
